x y z xl yl
0 0 0.5070067878257062 wolf scwolf
1 0 0.41981869334166927 small scsmall
2 0 0.41 medium scmedium
3 0 0.513713862120089 large sclarge

0 1 0.47470987519159186 wolf scwolf
1 1 0.6046681254558717 small scsmall
2 1 0.5817857142857142 medium scmedium
3 1 0.6181430689399555 large sclarge

0 2 0.43431136413400484 wolf scwolf
1 2 0.580077107429405 small scsmall
2 2 0.5391071428571429 medium scmedium
3 2 0.5142698295033358 large sclarge

0 3 0.4718633676373987 wolf scwolf
1 3 0.5622590392831093 small scsmall
2 3 0.5648214285714286 medium scmedium
3 3 0.5773721275018532 large sclarge

