x y z xl yl
0 0 0.5508539522662579 wolf scwolf
1 0 0.4790038553714703 small scsmall
2 0 0.4905357142857143 medium scmedium
3 0 0.5578206078576724 large sclarge

0 1 0.5577512590321875 wolf scwolf
1 1 0.6431176409294571 small scsmall
2 1 0.6675 medium scmedium
3 1 0.6666975537435137 large sclarge

0 2 0.5924020144514999 wolf scwolf
1 2 0.6373866833385433 small scsmall
2 2 0.634375 medium scmedium
3 2 0.625 large sclarge

0 3 0.5567111889643092 wolf scwolf
1 3 0.6396790663749088 small scsmall
2 3 0.6150892857142857 medium scmedium
3 3 0.6443661971830986 large sclarge

