x y z xl yl
0 0 0.08358878913947887 wolf scwolf
1 0 0.21485881004480567 small scsmall
2 0 0.16589285714285715 medium scmedium
3 0 0.17976278724981468 large sclarge

0 1 0.28191372892489597 wolf scwolf
1 1 0.19849953110346982 small scsmall
2 1 0.2548214285714286 medium scmedium
3 1 0.25639362490733875 large sclarge

0 2 0.04121961900591198 wolf scwolf
1 2 0.1122225695529853 small scsmall
2 2 0.11330357142857143 medium scmedium
3 2 0.15937731653076354 large sclarge

0 3 0.28191372892489597 wolf scwolf
1 3 0.29842659164322183 small scsmall
2 3 0.2548214285714286 medium scmedium
3 3 0.17299851742031133 large sclarge

