x y z xl yl
0 0 0.8831837092183052 wolf scwolf
1 0 0.6950088569344587 small scsmall
2 0 0.7977678571428571 medium scmedium
3 0 0.7840066716085989 large sclarge

0 1 0.718086271075104 wolf scwolf
1 1 0.8015004688965301 small scsmall
2 1 0.7451785714285715 medium scmedium
3 1 0.7436063750926613 large sclarge

0 2 0.9553864681410116 wolf scwolf
1 2 0.8904866103990831 small scsmall
2 2 0.8763392857142858 medium scmedium
3 2 0.8421052631578947 large sclarge

0 3 0.718086271075104 wolf scwolf
1 3 0.7015734083567782 small scsmall
2 3 0.7451785714285715 medium scmedium
3 3 0.8270014825796886 large sclarge

