x y z xl yl
0 0 0.13718503435988802 lay lay
1 0 0.22074468085106383 sit sit
2 0 0.0522688857105708 stand stand
3 0 0.0 walk walk
4 0 0.0 trot trot
5 0 0.0 run run
6 0 0.004081632653061225 eat eat
7 0 0.0 drink drink

0 1 0.003563247645711377 lay lay
1 1 0.013297872340425532 sit sit
2 1 0.0016902873488493044 stand stand
3 1 0.0 walk walk
4 1 0.0 trot trot
5 1 0.0 run run
6 1 0.0 eat eat
7 1 0.0 drink drink

0 2 0.8373631967421736 lay lay
1 2 0.7367021276595744 sit sit
2 2 0.7969054739305682 stand stand
3 2 0.3286977018267531 walk walk
4 2 0.0371900826446281 trot trot
5 2 0.07479022254651586 run run
6 2 0.9154518950437318 eat eat
7 2 0.7919847328244275 drink drink

0 3 0.019088826673453806 lay lay
1 3 0.011018237082066869 sit sit
2 3 0.08152385905603952 stand stand
3 3 0.5772539776075427 walk walk
4 3 0.2972623966942149 trot trot
5 3 0.3564392557460781 run run
6 3 0.044314868804664724 eat eat
7 3 0.03625954198473282 drink drink

0 4 0.0 lay lay
1 4 0.0 sit sit
2 4 0.0007801326225458328 stand stand
3 4 0.011196228638774307 walk walk
4 4 0.5480371900826446 trot trot
5 4 0.3527909522072236 run run
6 4 0.0011661807580174927 eat eat
7 4 0.0 drink drink

0 5 0.0 lay lay
1 5 0.0 sit sit
2 5 0.0 stand stand
3 5 0.0 walk walk
4 5 0.01859504132231405 trot trot
5 5 0.1408245165997811 run run
6 5 0.0 eat eat
7 5 0.0 drink drink

0 6 0.002799694578773225 lay lay
1 6 0.0182370820668693 sit sit
2 6 0.0667013392276687 stand stand
3 6 0.08285209192692988 walk walk
4 6 0.09865702479338843 trot trot
5 6 0.07515505290040131 run run
6 6 0.029154518950437316 eat eat
7 6 0.16030534351145037 drink drink

0 7 0.0 lay lay
1 7 0.0 sit sit
2 7 0.0001300221037576388 stand stand
3 7 0.0 walk walk
4 7 0.00025826446280991736 trot trot
5 7 0.0 run run
6 7 0.0058309037900874635 eat eat
7 7 0.011450381679389313 drink drink

